變化類別,股票代號,股票名稱,股數_20260504,股數_20260505,股數變化,權重_20260504(%),權重_20260505(%),權重變化(%)
新增,8150,南茂,,368000,368000,,0.01,0.01
增加持股,2303,聯電,40054000,46374000,6320000,1.28,1.48,0.2
增加持股,2317,鴻海,10727000,13977000,3250000,0.96,1.28,0.32
增加持股,3264,欣銓,4897000,6994000,2097000,0.41,0.63,0.22
增加持股,2330,台積電,10039000,10714000,675000,8.99,9.25,0.26
增加持股,2327,國巨*,16954000,17220000,266000,2.29,2.3,0.01
增加持股,6274,台燿,3019000,3257000,238000,1.32,1.52,0.2
增加持股,3443,創意,271000,488000,217000,0.5,0.9,0.4
增加持股,3711,日月光投控,10859000,11059000,200000,2.24,2.21,-0.03
增加持股,2449,京元電子,12719000,12918000,199000,1.66,1.75,0.09
增加持股,3037,欣興,10226000,10386000,160000,3.67,3.6,-0.07
增加持股,2345,智邦,6031000,6131000,100000,5.95,5.87,-0.08
增加持股,6147,頎邦,7884000,7984000,100000,0.56,0.54,-0.02
增加持股,2308,台達電,6024000,6118000,94000,5.26,5.08,-0.18
增加持股,2313,華通,2543000,2623000,80000,0.27,0.28,0.01
增加持股,2383,台光電,4425000,4505000,80000,8.28,8.17,-0.11
增加持股,5439,高技,3130000,3178000,48000,0.48,0.49,0.01
增加持股,2337,旺宏,2910000,2956000,46000,0.18,0.18,0.0
增加持股,3665,貿聯-KY,4583848,4623848,40000,5.3,5.1,-0.2
增加持股,6223,旺矽,1886000,1921000,35000,3.83,3.68,-0.15
增加持股,3376,新日興,1681000,1711000,30000,0.14,0.13,-0.01
增加持股,8996,高力,914000,934000,20000,0.45,0.43,-0.02
增加持股,2368,金像電,8240000,8260000,20000,4.67,4.69,0.02
增加持股,8046,南電,12637000,12657000,20000,4.9,4.84,-0.06
增加持股,5274,信驊,458000,473000,15000,3.16,3.23,0.07
增加持股,6669,緯穎,1754000,1769000,15000,3.35,3.23,-0.12
增加持股,3217,優群,830000,844000,14000,0.06,0.06,0.0
增加持股,1590,亞德客-KY,500000,510000,10000,0.29,0.28,-0.01
增加持股,6515,穎崴,391000,397000,6000,1.65,1.53,-0.12
增加持股,4966,譜瑞-KY,371000,376000,5000,0.08,0.08,0.0
增加持股,2481,強茂,3652000,3653000,1000,0.14,0.14,0.0
增加持股,5347,世界,62000,63000,1000,0.0,0.0,0.0
增加持股,6187,萬潤,1222000,1223000,1000,0.64,0.63,-0.01
增加持股,2404,漢唐,1091000,1092000,1000,0.42,0.41,-0.01
增加持股,2002,中鋼,5161000,5162000,1000,0.04,0.04,0.0
增加持股,2439,美律,16000,17000,1000,0.0,0.0,0.0
增加持股,2357,華碩,16000,17000,1000,0.0,0.0,0.0
增加持股,1319,東陽,509000,510000,1000,0.02,0.01,-0.01
增加持股,3189,景碩,5358000,5359000,1000,1.12,1.08,-0.04
增加持股,6191,精成科,3986000,3987000,1000,0.15,0.15,0.0
減少持股,3661,世芯-KY,738000,296000,-442000,1.23,0.47,-0.76
減少持股,6805,富世達,2099000,1741000,-358000,1.83,1.33,-0.5
